polish word;Valence_M;arousal_M;dominance_M;origin_M;significance_M;concretness_M;imegability_M;ageOfAquisition_M
aborcja;2,6;6,34;4,08;4,68;4,76;3,56;6,48;13,02
absolwent;6,38;3,9;6,2;6,56;4,38;3,44;6,64;11,56
absurd;4,22;4,88;4,76;5,52;3,4;7,22;3,88;11,52
adres;5,24;3,08;5,34;6,82;3,54;3,52;6,32;7,04
aerozol;5,1;3,52;4,94;5,92;2,632653061;2,1;7,34;10,74
afront;3,658536585;4,088888889;4,627906977;5,204545455;3,666666667;6,170731707;3,714285714;12,45652174
agencja;4,94;4,04;5,34;6,44;3,26;3,08;5,6;10,24
agonia;1,87755102;5,591836735;2,78;4,729166667;4,34;5,408163265;5,869565217;13,08
agresja;2,52;6,8;6,28;4,1;4,96;5,52;6,36;9,32
agresywność;2,78;6,24;5,78;4;4,04;6,34;6,16;9,78
agresywny;2,6;6,22;5,66;3,82;4,54;5,755102041;6,22;9,08
AIDS;1,98;6,76;3,12;5,64;4,34;3,48;5,76;11,82
akademik;5,66;3,74;4,96;5,8;3,86;2,08;7,7;11,92
akcent;5,58;3,58;5,64;6,34;3,06;4,66;4,94;10,42
akceptacja;7,2;4,1;6,42;5,82;5,16;6,48;4,82;10,3
aksamit;6,36;2,82;5,48;5,28;2,6;2,42;6,68;11,22
akt;5,3;3,9;5,4;5,76;3,26;3,54;6,24;10,4
aktualności;5,5;3,76;5,74;6,72;4,28;4,959183673;4,78;10,74
aktywność;6,58;4,16;6,56;5,5;4,74;5,14;5,36;9,52
aktywny;6,54;4,96;6,86;5,34;5,06;5,9;5,66;8,64
aktywować;6,14;4,48;6,34;5,96;4,28;5,26;5,34;10,86
akwaforta;5,5;3,730769231;4,625;5,576923077;2,666666667;4,588235294;3,615384615;13,52380952
akwarium;5,8;2,74;4,68;5,52;2,8;2,08;8,04;7,94
alarm;4,16;4,48;5,84;5,32;4,8;3,42;7,1;8,52
Albania;5,32;3,54;4,3;5,62;3,02;2,28;4,04;11,82
album;5,8;3,08;5,26;5,48;3,26;2,1;7,52;7,68
aleja;5,88;2,9;5,48;5,88;3,4;2,28;7,32;8,82
alergia;3,244897959;4,8;3,68;5,18;3,42;3,56;6,78;8,8
alimenty;3,6;4,48;4,14;6,34;3,06;3,42;5,24;11,56
alkoholik;2,24;5,56;2,96;4,46;4,36;3,24;7,16;10
alkoholizm;2,08;6,1;2,3;4,6;4,32;4,92;6,8;10,96
altruizm;6,416666667;3,673469388;5,326530612;4,2;4,87755102;7,72;4,06122449;12,92
ambicja;6,857142857;5,14;7,12;6,14;6,08;6,92;4,34;10,6
ambitny;7,14;4,88;7,14;6,04;5,68;6,7;5,08;10,24
ambulans;4,26;4,92;5,12;5,6;3,92;2,28;7,98;9,44
anchois;4,825;3,738095238;4,65625;4,80952381;2,651162791;1,837837838;6,1875;13,33333333
anemiczny;3,28;3,36;3,16;5,24;3,06;5,44;5,88;11,93877551
Anglia;6,02;3,2;6;6,04;3,58;2,4;6,96;9,24
animusz;5,727272727;4,255813953;6,244444444;4,813953488;3,673913043;5,842105263;4,153846154;12,68888889
anioł;6,98;2,98;6,5;3,74;3,82;5,58;8,12;6,68
antyczny;5,82;3,285714286;6,04;6,08;3,326530612;5,28;6,16;10,88
antylopa;5,5;3,5;4,86;4,94;2,54;1,56;7,98;8,5
antypatia;3,4;4,08;4,02;4,76;3,94;6,92;4,64;11,88
anulować;4,14;3,96;5,16;6,24;3,68;5,16;5,24;9,88
anyż;5,152173913;3,693877551;4,717391304;5,586956522;2,404255319;1,829787234;4,738095238;12,51020408
